
e Tomorrow War,Thriller,(2021)
F9,Thriller,(2021)
The Ice Road,Thriller,(2021)
A Quiet Place Part II,Thriller,(2020)
Manifest,Thriller,(2018–2021)
No Sudden Move,Thriller,(2021)
The Handmaid's Tale,Thriller,(2017– )
X-Ray: Selected Satyajit Shorts,Thriller,(2021– )
The Walking Dead,Thriller,(2010–2022)
The Blacklist,Thriller,(2013– )
Élite,Thriller,(2018– )
Nobody,Thriller,(I) (2021)
Hitman's Wife's Bodyguard,Thriller,(2021)
Katla,Thriller,(2021– )
Breaking Bad,Thriller,(2008–2013)
The Forever Purge,Thriller,(2021)
The Conjuring: The Devil Made Me Do It,Thriller,(2021)
Criminal Minds,Thriller,(2005–2020)
Black Summer,Thriller,(2019– )
Wrath of Man,Thriller,(2021)
Stranger Things,Thriller,(2016– )
StartUp,Thriller,(2016–2018)
Infinite,Thriller,(2021)
Supernatural,Thriller,(2005–2020)
False Positive,Thriller,(2021)
Till Death,Thriller,(I) (2021)
The Little Things,Thriller,(2021)
Law & Order: Special Victims Unit,Thriller,(1999– )
Довад,Thriller,(2020)
Dexter,Thriller,(2006–2021)
Непераможны,Thriller,(2021– )
Don't Breathe 2,Thriller,(2021)
American Horror Story,Thriller,(2011– )
Grahan,Thriller,(I) (2021– )
Army of the Dead,Thriller,(2021)
NCIS: Naval Criminal Investigative Service,Thriller,(2003– )
Midsommar,Thriller,(2019)
La casa de papel,Thriller,(2017–2021)
Godzilla vs. Kong,Thriller,(2021)
Lost,Thriller,(2004–2010)
Line of Duty,Thriller,(2012– )
Blood Red Sky,Thriller,(2021)
Old,Thriller,(2021)
Haseen Dillruba,Thriller,(2021)
Fargo,Thriller,(2014– )
Evil,Thriller,(2019– )
Halloween Kills,Thriller,(2021)
The Fast and the Furious,Thriller,(2001)
Чорнае люстэрка,Thriller,(2011– )
The Wire,Thriller,(2002–2008)
Loki,Action,(2021– )
The Tomorrow War,Action,(2021)
F9,Action,(2021)
The Ice Road,Action,(2021)
Black Widow,Action,(2021)
Game of Thrones,Action,(2011–2019)
Sweet Tooth,Action,(2021– )
Райя і апошні цмок,Action,(2021)
Jolt,Action,(2021)
The Suicide Squad,Action,(2021)
Nobody,Action,(I) (2021)
Hitman's Wife's Bodyguard,Action,(2021)
The Forever Purge,Action,(2021)
Shang-Chi and the Legend of the Ten Rings,Action,(2021)
Black Summer,Action,(2019– )
The Flash,Action,(2014– )
America: The Motion Picture,Action,(2021)
Wrath of Man,Action,(2021)
Vikings,Action,(2013–2020)
Люпен,Action,(2021– )
Infinite,Action,(2021)
The Boys,Action,(2019– )
Star Wars: The Bad Batch,Action,(2021– )
Довад,Action,(2020)
WandaVision,Action,(2021)
Непераможны,Action,(2021– )
Shingeki no kyojin,Action,(2013–2022)
Superman and Lois,Action,(2021– )
Мандалорац,Action,(2019– )
Grahan,Action,(I) (2021– )
Army of the Dead,Action,(2021)
NCIS: Naval Criminal Investigative Service,Action,(2003– )
Shadow and Bone,Action,(2021– )
La casa de papel,Action,(2017–2021)
Godzilla vs. Kong,Action,(2021)
Blood Red Sky,Action,(2021)
Spider-Man: No Way Home,Action,(2021)
The Fast and the Furious,Action,(2001)
Сокал і Зімовы салдат,Action,(2021)
The Witcher,Action,(2019– )
Legends of Tomorrow,Action,(2016– )
The Last Kingdom,Action,(2015– )
Chicago Fire,Action,(2012– )
Beckett,Action,(2021)
Zack Snyder's Justice League,Action,(2021)
Avengers: Endgame,Action,(2019)
Jurassic World: Dominion,Action,(2022)
The Family Man,Action,(2019– )
Mortal Kombat,Action,(2021)
Batwoman,Action,(2019– )
Shadow of a Doubt,Film-Noir,(1943)
The Wrong Man,Film-Noir,(1956)
Strangers on a Train,Film-Noir,(1951)
Suspicion,Film-Noir,(1941)
Sunset Blvd.,Film-Noir,(1950)
The Asphalt Jungle,Film-Noir,(1950)
Slander,Film-Noir,(1957)
The Night of the Hunter,Film-Noir,(1955)
The Maltese Falcon,Film-Noir,(1941)
Notorious,Film-Noir,(1946)
The Third Man,Film-Noir,(1949)
Double Indemnity,Film-Noir,(1944)
Side Street,Film-Noir,(1950)
The Big Sleep,Film-Noir,(1946)
Key Largo,Film-Noir,(1948)
Touch of Evil,Film-Noir,(1958)
Scarface,Film-Noir,(1932)
The Killing,Film-Noir,(1956)
Pickup on South Street,Film-Noir,(1953)
The Letter,Film-Noir,(1940)
His Kind of Woman,Film-Noir,(1951)
The Blue Gardenia,Film-Noir,(1953)
Gilda,Film-Noir,(1946)
Knock on Any Door,Film-Noir,(1949)
Niagara,Film-Noir,(1953)
Out of the Past,Film-Noir,(1947)
The Window,Film-Noir,(1949)
Spellbound,Film-Noir,(1945)
Angel Face,Film-Noir,(1953)
To Have and Have Not,Film-Noir,(1944)
Guilty Bystander,Film-Noir,(1950)
The Secret Fury,Film-Noir,(1950)
Laura,Film-Noir,(1944)
Mildred Pierce,Film-Noir,(1945)
The Big Heat,Film-Noir,(1953)
Fourteen Hours,Film-Noir,(1951)
In a Lonely Place,Film-Noir,(1950)
Ace in the Hole,Film-Noir,(1951)
The Lady from Shanghai,Film-Noir,(1947)
Desperate,Film-Noir,(1947)
Bait,Film-Noir,(1954)
All the King's Men,Film-Noir,(1949)
Sweet Smell of Success,Film-Noir,(1957)
The Killers,Film-Noir,(1946)
The House on Telegraph Hill,Film-Noir,(1951)
The Postman Always Rings Twice,Film-Noir,(1946)
Nightmare Alley,Film-Noir,(1947)
The Stranger,Film-Noir,(1946)
The Harder They Fall,Film-Noir,(1956)
The Woman in the Window,Film-Noir,(1944)
F9,Crime,(2021)
The Many Saints of Newark,Crime,(2021)
No Sudden Move,Crime,(2021)
Bosch,Crime,(2014–2021)
Cruella,Crime,(2021)
Mare of Easttown,Crime,(2021)
Lucifer,Crime,(2016– )
X-Ray: Selected Satyajit Shorts,Crime,(2021– )
The Blacklist,Crime,(2013– )
The Sopranos,Crime,(1999–2007)
Élite,Crime,(2018– )
Nobody,Crime,(I) (2021)
Hitman's Wife's Bodyguard,Crime,(2021)
Breaking Bad,Crime,(2008–2013)
Peaky Blinders,Crime,(2013– )
Criminal Minds,Crime,(2005–2020)
Wrath of Man,Crime,(2021)
StartUp,Crime,(2016–2018)
Люпен,Crime,(2021– )
Zola,Crime,(2020)
The Boys,Crime,(2019– )
The Little Things,Crime,(2021)
Law & Order: Special Victims Unit,Crime,(1999– )
Dexter,Crime,(2006–2021)
Time,Crime,(2021– )
Army of the Dead,Crime,(2021)
NCIS: Naval Criminal Investigative Service,Crime,(2003– )
Brooklyn Nine-Nine,Crime,(2013–2022)
Better Call Saul,Crime,(2015– )
La casa de papel,Crime,(2017–2021)
Why Women Kill,Crime,(2019– )
Line of Duty,Crime,(2012– )
Haseen Dillruba,Crime,(2021)
Fargo,Crime,(2014– )
Evil,Crime,(2019– )
The Fast and the Furious,Crime,(2001)
Good Girls,Crime,(2018–2021)
The Wire,Crime,(2002–2008)
Ozark,Crime,(2017– )
Midsomer Murders,Crime,(1997– )
Promising Young Woman,Crime,(2020)
Beckett,Crime,(2021)
Bones,Crime,(2005–2017)
Gone Baby Gone,Crime,(2007)
Sons of Anarchy,Crime,(2008–2014)
Lansky,Crime,(2021)
Don't Breathe,Crime,(2016)
Batwoman,Crime,(2019– )
The X Files,Crime,(1993–2018)
True Detective,Crime,(2014–2019)
Luca,Animation,(2021)
Рык і Морці,Animation,(2013– )
Райя і апошні цмок,Animation,(2021)
The Boss Baby: Family Business,Animation,(2021)
America: The Motion Picture,Animation,(2021)
Star Wars: The Bad Batch,Animation,(2021– )
Sing 2,Animation,(2021)
Непераможны,Animation,(2021– )
Shingeki no kyojin,Animation,(2013–2022)
Space Jam: A New Legacy,Animation,(2021)
Wish Dragon,Animation,(2021)
Clifford the Big Red Dog,Animation,(2021)
Peter Rabbit 2: The Runaway,Animation,(2021)
The Simpsons,Animation,(1989– )
The Mitchells vs the Machines,Animation,(2021)
Spirit Untamed,Animation,(2021)
Boku no hîrô akademia,Animation,(2016– )
BoJack Horseman,Animation,(2014–2020)
Грыфіны,Animation,(1999–2022)
One Piece: Wan pîsu,Animation,(1999– )
Nanatsu no taizai,Animation,(2014– )
Sing,Animation,(2016)
Soul,Animation,(2020)
Hotel Transylvania: Transformania,Animation,(2021)
Star Wars: The Clone Wars,Animation,(2008–2020)
"Batman: The Long Halloween, Part One",Animation,(2021 Video)
"Love, Death & Robots",Animation,(2019– )
Лэдзі Баг і Супер-Кот,Animation,(2015– )
Central Park,Animation,(2020– )
Kimetsu no Yaiba: Mugen Ressha-Hen,Animation,(2020)
Каслванія,Animation,(2017–2021)
Demon Slayer: Kimetsu No Yaiba,Animation,(2019– )
Shûmatsu no Valkyrie,Animation,(2021– )
The Croods: A New Age,Animation,(2020)
Avatar: The Last Airbender,Animation,(2005–2008)
Bob's Burgers,Animation,(2011– )
South Park,Animation,(1997– )
Harley Quinn,Animation,(2019– )
Jujutsu Kaisen,Animation,(2020– )
Naruto: Shippûden,Animation,(2007–2017)
The Boss Baby,Animation,(2017)
Fruits Basket,Animation,(2019–2021)
Moana,Animation,(I) (2016)
American Dad!,Animation,(2005– )
Archer,Animation,(2009– )
Spider-Man: Into the Spider-Verse,Animation,(2018)
Coco,Animation,(I) (2017)
Tokyo Revengers,Animation,(2021– )
Hunter x Hunter,Animation,(2011–2014)
Space Jam,Animation,(1996)
The Crown,Biography,(2016– )
Lansky,Biography,(2021)
Zenra kantoku,Biography,(2019– )
Tombstone,Biography,(1993)
The Wolf of Wall Street,Biography,(2013)
Believe Me: The Abduction of Lisa McVey,Biography,(2018 TV Movie)
Narcos,Biography,(2015–2017)
Hamilton,Biography,(2020)
Spartacus: Blood and Sand,Biography,(2010–2013)
Goodfellas,Biography,(1990)
Methagu,Biography,(2021)
Halston,Biography,(2021)
Спіс Шындлера,Biography,(1993)
The Dig,Biography,(2021)
Ford v Ferrari,Biography,(2019)
The Greatest Showman,Biography,(2017)
Judas and the Black Messiah,Biography,(2021)
The Irishman,Biography,(2019)
"I, Tonya",Biography,(2017)
Scam 1992: The Harshad Mehta Story,Biography,(2020)
Green Book,Biography,(2018)
Bohemian Rhapsody,Biography,(2018)
Braveheart,Biography,(1995)
Hacksaw Ridge,Biography,(2016)
The Intouchables,Biography,(2011)
The Big Short,Biography,(2015)
Blue Miracle,Biography,(2021)
Rocketman,Biography,(I) (2019)
American Crime Story,Biography,(2016– )
Moneyball,Biography,(2011)
The Aviator,Biography,(2004)
Erin Brockovich,Biography,(2000)
Into the Wild,Biography,(2007)
Good Joe Bell,Biography,(2020)
Catch Me If You Can,Biography,(2002)
The Social Network,Biography,(2010)
The Pianist,Biography,(2002)
The King,Biography,(I) (2019)
Bombshell,Biography,(I) (2019)
Amadeus,Biography,(1984)
Rush,Biography,(I) (2013)
Argo,Biography,(2012)
Darkest Hour,Biography,(2017)
The Imitation Game,Biography,(2014)
The Great,Biography,(2020– )
The Sound of Music,Biography,(1965)
12 Years a Slave,Biography,(2013)
Spotlight,Biography,(I) (2015)
The Act,Biography,(2019)
A Beautiful Mind,Biography,(2001)
Loki,Adventure,(2021– )
The Tomorrow War,Adventure,(2021)
F9,Adventure,(2021)
Luca,Adventure,(2021)
The Ice Road,Adventure,(2021)
Рык і Морці,Adventure,(2013– )
Black Widow,Adventure,(2021)
Game of Thrones,Adventure,(2011–2019)
Sweet Tooth,Adventure,(2021– )
Райя і апошні цмок,Adventure,(2021)
The Suicide Squad,Adventure,(2021)
The Mysterious Benedict Society,Adventure,(2021– )
The Boss Baby: Family Business,Adventure,(2021)
Shang-Chi and the Legend of the Ten Rings,Adventure,(2021)
The Flash,Adventure,(2014– )
America: The Motion Picture,Adventure,(2021)
Vikings,Adventure,(2013–2020)
Star Wars: The Bad Batch,Adventure,(2021– )
Sing 2,Adventure,(2021)
Непераможны,Adventure,(2021– )
Shingeki no kyojin,Adventure,(2013–2022)
Superman and Lois,Adventure,(2021– )
Мандалорац,Adventure,(2019– )
Shadow and Bone,Adventure,(2021– )
Lost,Adventure,(2004–2010)
Spider-Man: No Way Home,Adventure,(2021)
Сокал і Зімовы салдат,Adventure,(2021)
The Witcher,Adventure,(2019– )
Doctor Who,Adventure,(2005– )
Space Jam: A New Legacy,Adventure,(2021)
Legends of Tomorrow,Adventure,(2016– )
Wish Dragon,Adventure,(2021)
Dune,Adventure,(2021)
Zack Snyder's Justice League,Adventure,(2021)
Avengers: Endgame,Adventure,(2019)
Jurassic World: Dominion,Adventure,(2022)
Clifford the Big Red Dog,Adventure,(2021)
Mortal Kombat,Adventure,(2021)
Batwoman,Adventure,(2019– )
Star Trek: The Next Generation,Adventure,(1987–1994)
Peter Rabbit 2: The Runaway,Adventure,(2021)
The Green Knight,Adventure,(2021)
Thor: Ragnarok,Adventure,(2017)
Harry Potter and the Sorcerer's Stone,Adventure,(2001)
Awake,Adventure,(III) (2021)
Snake Eyes: G.I. Joe Origins,Adventure,(2021)
Titans,Adventure,(I) (2018– )
Smallville,Adventure,(2001–2011)
Fast & Furious 7,Adventure,(2015)
Serebryanye konki,Adventure,(2020)
Clarkson's Farm,Documentary,(2021– )
Sophie: A Murder in West Cork,Documentary,(2021)
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Documentary,(2021)
Sex Life,Documentary,(2019– )
El caso Wanninkhof-Carabantes,Documentary,(2021)
Alone,Documentary,(2015– )
Murder at the Cottage: The Search for Justice for Sophie,Documentary,(2021)
The Sparks Brothers,Documentary,(2021)
Fathom,Documentary,(2021)
Jackass 4,Documentary,(2021)
Planet Earth II,Documentary,(2016)
The Vow,Documentary,(2020– )
The Last Dance,Documentary,(2020)
I'll Be Gone in the Dark,Documentary,(2020–2021)
My Octopus Teacher,Documentary,(2020)
LFG,Documentary,(2021)
Formula 1: Drive to Survive,Documentary,(2019– )
Nathan for You,Documentary,(2013–2017)
Roadrunner: A Film About Anthony Bourdain,Documentary,(2021)
Mary J Blige's My Life,Documentary,(2021)
Penguin Town,Documentary,(2021– )
Epstein's Shadow: Ghislaine Maxwell,Documentary,(2021– )
Hot Girls Wanted,Documentary,(2015)
Roman Empire,Documentary,(2016– )
"I, Sniper",Documentary,(2020– )
Ghost Adventures,Documentary,(2008– )
Audible,Documentary,(2021)
Ancient Aliens,Documentary,(2009– )
Wolfgang,Documentary,(2021)
Cosmos: A Spacetime Odyssey,Documentary,(2014)
RH Project,Documentary,(2021)
The Celluloid Closet,Documentary,(1995)
Dark Side of the Ring,Documentary,(2019– )
Night Stalker: The Hunt for a Serial Killer,Documentary,(2021)
The Food That Built America,Documentary,(2019– )
Legend of the Underground,Documentary,(2021)
Deadliest Catch,Documentary,(2005– )
The Social Dilemma,Documentary,(2020)
Relentless,Documentary,(2021– )
Colectiv,Documentary,(2019)
Planet Earth,Documentary,(2006)
The Deep Rig,Documentary,(2021)
Mayday,Documentary,(2003– )
Seaspiracy,Documentary,(2021)
American Murder: The Family Next Door,Documentary,(2020)
Escape to the Chateau,Documentary,(2016–2021)
"Wonder Boy, Olivier Rousteing, né sous X",Documentary,(2019)
Don't F**k with Cats: Hunting an Internet Killer,Documentary,(2019)
The Vietnam War,Documentary,(2017)
The World at War,Documentary,(1973–1974)
America: The Motion Picture,History,(2021)
Vikings,History,(2013–2020)
The Last Kingdom,History,(2015– )
The Crown,History,(2016– )
Serebryanye konki,History,(2020)
Sophie: A Murder in West Cork,History,(2021)
Chernobyl,History,(2019)
Tombstone,History,(1993)
The Chosen,History,(2017– )
Band of Brothers,History,(2001)
Killers of the Flower Moon,History,
Hamilton,History,(2020)
Spartacus: Blood and Sand,History,(2010–2013)
Somos.,History,(2021)
Call the Midwife,History,(2012– )
Domina,History,(2021– )
Methagu,History,(2021)
12 Mighty Orphans,History,(2021)
Спіс Шындлера,History,(1993)
Boardwalk Empire,History,(2010–2014)
The Dig,History,(2021)
Rurôni Kenshin: Meiji kenkaku roman tan,History,(2012)
Judas and the Black Messiah,History,(2021)
Warrior,History,(2019– )
Deadwood,History,(2004–2006)
Troy,History,(2004)
The Underground Railroad,History,(2021– )
Rome,History,(2005–2007)
Braveheart,History,(1995)
Hacksaw Ridge,History,(2016)
El caso Wanninkhof-Carabantes,History,(2021)
Dunkirk,History,(2017)
The Big Short,History,(2015)
The Revenant,History,(2015)
Zero Dark Thirty,History,(2012)
It's a Sin,History,(2021)
The Outpost,History,(2019)
The Tudors,History,(2007–2010)
The Trial of the Chicago 7,History,(2020)
Poldark,History,(2015–2019)
Midway,History,(2019)
Caligola,History,(1979)
The King,History,(I) (2019)
Dirilis: Ertugrul,History,(2014–2019)
Kingdom,History,(2019– )
Amadeus,History,(1984)
Oslo,History,(2021 TV Movie)
Black Hawk Down,History,(2001)
Greyhound,History,(2020)
Darkest Hour,History,(2017)
Sex/Life,Comedy,(2021– )
Luca,Comedy,(2021)
Рык і Морці,Comedy,(2013– )
Cruella,Comedy,(2021)
Good on Paper,Comedy,(2021)
Friends,Comedy,(1994–2004)
Райя і апошні цмок,Comedy,(2021)
Fatherhood,Comedy,(2021)
Jolt,Comedy,(2021)
The Suicide Squad,Comedy,(2021)
The Mysterious Benedict Society,Comedy,(2021– )
Hitman's Wife's Bodyguard,Comedy,(2021)
The Boss Baby: Family Business,Comedy,(2021)
Тэд Лассо,Comedy,(2020– )
Physical,Comedy,(2021– )
America: The Motion Picture,Comedy,(2021)
The Office,Comedy,(2005–2013)
Zola,Comedy,(2020)
Kevin Can F**k Himself,Comedy,(2021– )
Sing 2,Comedy,(2021)
Schitt's Creek,Comedy,(2015–2020)
Once Upon a Time... in Hollywood,Comedy,(2019)
WandaVision,Comedy,(2021)
iCarly,Comedy,(2021– )
Modern Family,Comedy,(2009–2020)
The Big Bang Theory,Comedy,(2007–2019)
The Kominsky Method,Comedy,(2018–2021)
Hacks,Comedy,(2021– )
Brooklyn Nine-Nine,Comedy,(2013–2022)
Mythic Quest: Raven's Banquet,Comedy,(2020– )
Why Women Kill,Comedy,(2019– )
Werewolves Within,Comedy,(2021)
Good Girls,Comedy,(2018–2021)
Бессаромныя,Comedy,(2011–2021)
It's Always Sunny in Philadelphia,Comedy,(2005– )
Space Jam: A New Legacy,Comedy,(2021)
Workin' Moms,Comedy,(2017– )
Wish Dragon,Comedy,(2021)
Dave,Comedy,(2020– )
How I Met Your Mother,Comedy,(2005–2014)
The Bold Type,Comedy,(2017–2021)
Community,Comedy,(2009–2015)
Bones,Comedy,(2005–2017)
Happy Endings,Comedy,(2011–2020)
Sex Education,Comedy,(2019– )
Clifford the Big Red Dog,Comedy,(2021)
The Family Man,Comedy,(2019– )
Suits,Comedy,(2011–2019)
New Girl,Comedy,(2011–2018)
Gilmore Girls,Comedy,(2000–2007)
Yellowstone,Western,(2018– )
The Harder They Fall,Western,(2021)
Spirit Untamed,Western,(2021)
Tombstone,Western,(1993)
Walker,Western,(2021– )
Killers of the Flower Moon,Western,
Justified,Western,(2010–2015)
Django Unchained,Western,(2012)
The Hateful Eight,Western,(2015)
Gunsmoke,Western,(1955–1975)
Little House on the Prairie,Western,(1974–1983)
Longmire,Western,(2012–2017)
The Magnificent Seven,Western,(2016)
Deadwood,Western,(2004–2006)
Hell or High Water,Western,(II) (2016)
Blazing Saddles,Western,(1974)
News of the World,Western,(2020)
The Outlaw Josey Wales,Western,(1976)
The Revenant,Western,(2015)
"Il buono, il brutto, il cattivo",Western,(1966)
Unforgiven,Western,(1992)
The Ranch,Western,(2016–2020)
Godless,Western,(2017)
Cry Macho,Western,(2021)
Kung Fu,Western,(1972–1975)
Legends of the Fall,Western,(1994)
Wynonna Earp,Western,(2016–2021)
The Ballad of Buster Scruggs,Western,(2018)
Hostiles,Western,(2017)
Paint Your Wagon,Western,(1969)
City Slickers,Western,(1991)
Dances with Wolves,Western,(1990)
Bonanza,Western,(1959–1973)
Once Upon a Time in the West,Western,(1968)
Stagecoach,Western,(1986 TV Movie)
Young Guns,Western,(1988)
Bone Tomahawk,Western,(2015)
The Virginian,Western,(1962–1971)
True Grit,Western,(2010)
Spirit: Stallion of the Cimarron,Western,(2002)
Django/Zorro,Western,(2022)
Back to the Future Part III,Western,(1990)
The Outlaw,Western,(1943)
The Magnificent Seven,Western,(1960)
Giant,Western,(1956)
McLeod's Daughters,Western,(2001–2009)
Rango,Western,(2011)
Red Dead Redemption II,Western,(2018 Video Game)
"Walker, Texas Ranger",Western,(1993–2001)
Big Jake,Western,(1971)
In the Heights,Music,(2021)
Sing 2,Music,(2021)
Dave,Music,(2020– )
Bo Burnham: Inside,Music,(2021 TV Special)
Yesterday,Music,(III) (2019)
Soul,Music,(2020)
CODA,Music,(2021)
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Music,(2021)
Bill & Ted Face the Music,Music,(2020)
Glee,Music,(2009–2015)
Baby Driver,Music,(2017)
Whiplash,Music,(2014)
Almost Famous,Music,(2000)
Coco,Music,(I) (2017)
Pitch Perfect,Music,(2012)
Sound of Metal,Music,(2019)
Green Book,Music,(2018)
Coyote Ugly,Music,(2000)
Bohemian Rhapsody,Music,(2018)
La La Land,Music,(2016)
Rocketman,Music,(I) (2019)
Girls5eva,Music,(2021– )
This Is Pop,Music,(2021– )
The Blues Brothers,Music,(1980)
Atlanta,Music,(2016– )
A Star Is Born,Music,(2018)
The Pianist,Music,(2002)
Nashville,Music,(2012–2018)
Eurovision Song Contest: The Story of Fire Saga,Music,(2020)
Amadeus,Music,(1984)
Dirty Dancing,Music,(I) (1987)
The Wedding Singer,Music,(1998)
Victorious,Music,(2010–2013)
Saturday Night Live,Music,(1975– )
8 Mile,Music,(2002)
The School of Rock,Music,(2003)
Trouble,Music,(I) (2019)
Finding Your Feet,Music,(2017)
The Sparks Brothers,Music,(2021)
Streets of Fire,Music,(1984)
Rock 'n' Roll High School,Music,(1979)
"O Brother, Where Art Thou?",Music,(2000)
Happy Days,Music,(1974–1984)
The Dirt,Music,(2019)
Saturday Night Fever,Music,(1977)
Climax,Music,(I) (2018)
Burlesque,Music,(I) (2010)
We Are Lady Parts,Music,(2021– )
Bill & Ted's Excellent Adventure,Music,(1989)
This Is Spinal Tap,Music,(1984)
In the Heights,Musical,(2021)
Sing 2,Musical,(2021)
Cinderella,Musical,(2021)
Sing,Musical,(2016)
High School Musical: The Musical - The Series,Musical,(2019– )
Willy Wonka & the Chocolate Factory,Musical,(1971)
Central Park,Musical,(2020– )
Hamilton,Musical,(2020)
Grease,Musical,(1978)
Annette,Musical,(2021)
Glee,Musical,(2009–2015)
